"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","new","hillary","realdonaldtrump","jimwebbusa","iowa","gopdebate","people","will","president","today"
"2","fitn","get","great","hillaryclinton","randpaul","plan","can","now","via","join"
"3","day","time","trump","one","martinomalley","cnbcgopdebate","need","live","take","campaign"
"4","see","right","thank","candidate","standwithrand","tax","america","watch","lindseygrahamsc","debate"
"5","team","last","thanks","demdebate","iacaucus","security","make","tune","first","tedcruz"
"6","back","help","just","gop","rand","read","country","foxnews","obama","dont"
