"","x"
"online",18
"order",18
"public",18
"revolution",18
"someone",18
"sunday",18
"thing",18
"totally",18
"truth",18
"victory",18
"vision",18
"weve",18
"also",17
"bad",17
"bobbyjindal",17
"budget",17
"calls",17
"carly",17
"comes",17
"create",17
"crisis",17
"donate",17
"equal",17
"everything",17
"executive",17
"facing",17
"failed",17
"faith",17
"forces",17
"friend",17
"friends",17
"instead",17
"jaketapper",17
"living",17
"ohio",17
"person",17
"restore",17
"statement",17
"stevekingia",17
"times",17
"trip",17
"action",16
"afternoon",16
"air",16
"already",16
"behind",16
"bobby",16
"build",16
"constitution",16
"dinner",16
"discussion",16
"establishment",16
"force",16
"foxandfriends",16
"heard",16
"icymi",16
"ideas",16
"jebbush",16
"johnkasichs",16
"lives",16
"major",16
"may",16
"megynkelly",16
"missed",16
"nations",16
"opportunity",16
"pres",16
"religious",16
"signed",16
"soon",16
"store",16
"values",16
"veteran",16
"voice",16
"winning",16
"wonderful",16
"works",16
"young",16
