"","x"
"christmaseve",14
"click",14
"comes",14
"comments",14
"community",14
"constitution",14
"criminal",14
"discussion",14
"enemy",14
"est",14
"everything",14
"favorite",14
"finally",14
"forum",14
"game",14
"gear",14
"hands",14
"hannity",14
"hillaryfornh",14
"idea",14
"joined",14
"learn",14
"man",14
"others",14
"strength",14
"trip",14
"united",14
"webbnation",14
"weve",14
"whats",14
"word",14
"wow",14
"youll",14
"across",13
"ago",13
"almost",13
"become",13
"building",13
"called",13
"case",13
"commander",13
"des",13
"discussing",13
"early",13
"economic",13
"education",13
"federal",13
"focus",13
"grievance",13
"iraq",13
"knows",13
"left",13
"men",13
"moments",13
"nytimes",13
"online",13
"oped",13
"opening",13
"part",13
"photo",13
"politicians",13
"reason",13
"ricksantorum",13
"safety",13
"san",13
"season",13
"senjohnmccain",13
"set",13
"share",13
"supporting",13
"taking",13
"thehill",13
"totally",13
"troops",13
"union",13
"voted",13
"woman",13
