"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","randpaul","will","new","watch","iowa","great","people","need","trump","join"
"2","gopdebate","president","today","now","tedcruz","thank","get","isis","hillary","debate"
"3","festivus","america","johnkasich","live","cruz","thanks","like","plan","realdonaldtrump","one"
"4","security","can","fitn","foxnews","campaign","christmas","american","must","just","candidate"
"5","today","make","gov","tonight","https","support","first","hillaryclinton","cnn","berniesanders"
"6","national","americans","nhpolitics","tune","ted","night","going","fight","think","win"
