"","x"
"chrischristie",13
"continue",13
"cut",13
"economy",13
"fix",13
"follow",13
"fox",13
"growing",13
"instead",13
"issue",13
"law",13
"leading",13
"learn",13
"lightweight",13
"nominee",13
"obamas",13
"paul",13
"policies",13
"remember",13
"saying",13
"school",13
"showing",13
"social",13
"speaks",13
"stronger",13
"talks",13
"taxes",13
"text",13
"told",13
"water",13
"yesterday",13
"youll",13
