"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","one","people","hillary","thank","gopdebate","will","new","vote","today","tonight","cruz","president","campaign","marcorubio","tedcruz"
"2","right","can","win","great","trump","america","hampshire","caucus","carolina","iowa","rubio","need","berniesanders","jeb","watch"
"3","candidate","country","youre","support","kasich","plan","johnkasich","get","south","iacaucus","ted","will","just","back","now"
"4","real","together","know","crowd","john","must","fitn","make","join","tune","marco","next","https","bush","live"
"5","every","hillaryclinton","got","last","realdonaldtrump","american","voters","ready","team","foxnews","senator","states","proud","says","rally"
"6","now","cant","good","randpaul","like","immigration","nhprimary","time","day","looking","hard","thats","httpst","jebbush","nevada"
