"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1934",0.0793650793650794,0.158730158730159,0.0793650793650794,0.0793650793650794,0.0793650793650794,0.0952380952380952,0.0793650793650794,0.142857142857143,0.126984126984127,0.0793650793650794
"1935",0.107692307692308,0.153846153846154,0.0923076923076923,0.0769230769230769,0.0923076923076923,0.0923076923076923,0.0923076923076923,0.107692307692308,0.107692307692308,0.0769230769230769
"1936",0.0819672131147541,0.19672131147541,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0983606557377049,0.0983606557377049,0.0983606557377049,0.0983606557377049,0.0819672131147541
"1937",0.107692307692308,0.0769230769230769,0.123076923076923,0.0923076923076923,0.0923076923076923,0.0769230769230769,0.0769230769230769,0.153846153846154,0.123076923076923,0.0769230769230769
"1938",0.0769230769230769,0.123076923076923,0.107692307692308,0.169230769230769,0.0769230769230769,0.0769230769230769,0.0923076923076923,0.0923076923076923,0.0923076923076923,0.0923076923076923
"1939",0.112903225806452,0.0806451612903226,0.0806451612903226,0.0967741935483871,0.193548387096774,0.0806451612903226,0.0806451612903226,0.0967741935483871,0.0967741935483871,0.0806451612903226
"1940",0.15,0.116666666666667,0.1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1,0.116666666666667
"1941",0.0983606557377049,0.0819672131147541,0.0983606557377049,0.0819672131147541,0.147540983606557,0.114754098360656,0.0819672131147541,0.114754098360656,0.0983606557377049,0.0819672131147541
"1942",0.131147540983607,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0983606557377049,0.0983606557377049,0.147540983606557,0.0983606557377049,0.0983606557377049
"1943",0.11864406779661,0.0847457627118644,0.11864406779661,0.101694915254237,0.0847457627118644,0.101694915254237,0.101694915254237,0.11864406779661,0.0847457627118644,0.0847457627118644
"1944",0.0983606557377049,0.0983606557377049,0.0819672131147541,0.0983606557377049,0.114754098360656,0.0819672131147541,0.0819672131147541,0.114754098360656,0.114754098360656,0.114754098360656
"1945",0.0943396226415094,0.0943396226415094,0.0943396226415094,0.0943396226415094,0.113207547169811,0.0943396226415094,0.0943396226415094,0.132075471698113,0.0943396226415094,0.0943396226415094
"1946",0.103448275862069,0.120689655172414,0.0862068965517241,0.0862068965517241,0.120689655172414,0.0862068965517241,0.0862068965517241,0.137931034482759,0.0862068965517241,0.0862068965517241
"1947",0.125,0.078125,0.09375,0.078125,0.109375,0.09375,0.078125,0.140625,0.109375,0.09375
"1948",0.0952380952380952,0.126984126984127,0.0793650793650794,0.111111111111111,0.0952380952380952,0.126984126984127,0.0952380952380952,0.0793650793650794,0.0952380952380952,0.0952380952380952
"1949",0.0793650793650794,0.142857142857143,0.0952380952380952,0.0952380952380952,0.0793650793650794,0.111111111111111,0.0952380952380952,0.111111111111111,0.111111111111111,0.0793650793650794
"1950",0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1,0.116666666666667,0.0833333333333333,0.116666666666667,0.15,0.1
"1951",0.116666666666667,0.116666666666667,0.116666666666667,0.0833333333333333,0.0833333333333333,0.1,0.0833333333333333,0.133333333333333,0.0833333333333333,0.0833333333333333
"1952",0.116666666666667,0.0833333333333333,0.1,0.1,0.1,0.0833333333333333,0.1,0.116666666666667,0.0833333333333333,0.116666666666667
"1953",0.11864406779661,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.152542372881356,0.11864406779661,0.101694915254237
"1954",0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.112903225806452,0.0806451612903226,0.0806451612903226,0.145161290322581,0.112903225806452,0.0806451612903226
"1955",0.112903225806452,0.112903225806452,0.112903225806452,0.0806451612903226,0.0806451612903226,0.0806451612903226,0.0967741935483871,0.129032258064516,0.0967741935483871,0.0967741935483871
"1956",0.107142857142857,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.0892857142857143,0.107142857142857,0.107142857142857,0.142857142857143,0.0892857142857143,0.0892857142857143
"1957",0.0819672131147541,0.114754098360656,0.0819672131147541,0.0983606557377049,0.114754098360656,0.114754098360656,0.0983606557377049,0.114754098360656,0.0819672131147541,0.0983606557377049
"1958",0.107692307692308,0.0923076923076923,0.123076923076923,0.107692307692308,0.0923076923076923,0.0769230769230769,0.123076923076923,0.107692307692308,0.0769230769230769,0.0923076923076923
"1959",0.0967741935483871,0.0806451612903226,0.0806451612903226,0.161290322580645,0.0806451612903226,0.0967741935483871,0.145161290322581,0.0967741935483871,0.0806451612903226,0.0806451612903226
"1960",0.123076923076923,0.0769230769230769,0.0923076923076923,0.138461538461538,0.107692307692308,0.0923076923076923,0.0923076923076923,0.0769230769230769,0.107692307692308,0.0923076923076923
"1961",0.114754098360656,0.0983606557377049,0.0983606557377049,0.0983606557377049,0.0819672131147541,0.131147540983607,0.0819672131147541,0.0819672131147541,0.114754098360656,0.0983606557377049
"1962",0.138461538461538,0.0923076923076923,0.0769230769230769,0.0769230769230769,0.107692307692308,0.107692307692308,0.0923076923076923,0.107692307692308,0.123076923076923,0.0769230769230769
"1963",0.137931034482759,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.103448275862069,0.0862068965517241,0.0862068965517241,0.0862068965517241,0.103448275862069,0.137931034482759
"1964",0.0793650793650794,0.126984126984127,0.126984126984127,0.0793650793650794,0.111111111111111,0.0793650793650794,0.111111111111111,0.0952380952380952,0.0793650793650794,0.111111111111111
"1965",0.174603174603175,0.0952380952380952,0.111111111111111,0.0793650793650794,0.0952380952380952,0.111111111111111,0.0952380952380952,0.0793650793650794,0.0793650793650794,0.0793650793650794
"1966",0.133333333333333,0.116666666666667,0.1,0.0833333333333333,0.1,0.116666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1
"1967",0.21875,0.078125,0.078125,0.125,0.078125,0.078125,0.078125,0.09375,0.078125,0.09375
"1968",0.163934426229508,0.0983606557377049,0.114754098360656,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0983606557377049,0.0983606557377049,0.0983606557377049
"1969",0.147540983606557,0.147540983606557,0.0983606557377049,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0819672131147541,0.0983606557377049,0.0983606557377049
