"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","will","people","new","campaign","hillary","today","iowa","gopdebate","time","johnkasich"
"2","president","can","trump","just","one","great","iacaucus","america","plan","watch"
"3","must","need","thank","now","demdebate","join","tedcruz","make","health","fitn"
"4","potus","get","hampshire","berniesanders","hillaryclinton","thanks","cruz","last","first","live"
"5","obama","country","marcorubio","help","randpaul","support","https","every","care","dont"
"6","gun","back","tonight","days","debate","team","caucus","day","tax","tune"
