"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","will","join","president","gopdebate","great","now","new","people","today","hillary"
"2","get","tedcruz","need","randpaul","trump","live","fitn","just","thanks","demdebate"
"3","dont","campaign","isis","want","realdonaldtrump","watch","candidate","one","https","americans"
"4","back","martinomalley","must","right","america","tonight","berniesanders","country","marcorubio","american"
"5","know","cruz","thank","says","make","tune","via","time","support","every"
"6","real","team","obama","war","thank","foxnews","poll","can","realbencarson","families"
