"","x"
"taxes",97
"times",97
"attack",96
"control",96
"fun",96
"israel",96
"omalleyforia",96
"question",96
"strategy",96
"whats",96
"hours",95
"icymi",95
"plans",95
"talked",95
"also",94
"cnnpolitics",94
"deserve",94
"former",94
"movement",94
"asked",93
"awesome",93
"speaks",93
"enjoyed",92
"hillaryclintons",92
"islam",92
"watching",92
"terrorists",91
"winning",91
"crisis",90
"fundraising",90
"official",90
"glennbeck",89
"online",89
