"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","iowa","great","one","hillary","trump","watch","like","americans","gopdebate","will","today","new","people","amp","tedcruz"
"2","iacaucus","thank","vote","hillaryclinton","realdonaldtrump","live","last","every","randpaul","president","campaign","fitn","time","isis","just"
"3","https","thanks","via","dont","plan","tonight","see","need","candidate","america","get","johnkasich","country","must","cruz"
"4","berniesanders","support","going","demdebate","amp","now","good","security","debate","make","join","hampshire","american","obama","cruzcrew"
"5","realbencarson","team","jimwebbusa","want","read","foxnews","best","national","gop","fight","can","today","back","leadership","poll"
"6","martinomalley","proud","right","cant","tax","tune","night","families","imwithhuck","nation","help","state","take","potus","big"
